date,day,day_name,week,month,month_name,quarter,year,year_month,is_weekend,is_holiday,holiday_name
2023-01-01,1,Sunday,52,1,January,1,2023,2023-01,True,True,New Year
2023-01-02,2,Monday,1,1,January,1,2023,2023-01,False,False,
2023-01-03,3,Tuesday,1,1,January,1,2023,2023-01,False,False,
2023-01-04,4,Wednesday,1,1,January,1,2023,2023-01,False,False,
2023-01-05,5,Thursday,1,1,January,1,2023,2023-01,False,False,
2023-01-06,6,Friday,1,1,January,1,2023,2023-01,False,False,
2023-01-07,7,Saturday,1,1,January,1,2023,2023-01,True,False,
2023-01-08,8,Sunday,1,1,January,1,2023,2023-01,True,False,
2023-01-09,9,Monday,2,1,January,1,2023,2023-01,False,False,
2023-01-10,10,Tuesday,2,1,January,1,2023,2023-01,False,False,
2023-01-11,11,Wednesday,2,1,January,1,2023,2023-01,False,False,
2023-01-12,12,Thursday,2,1,January,1,2023,2023-01,False,False,
2023-01-13,13,Friday,2,1,January,1,2023,2023-01,False,False,
2023-01-14,14,Saturday,2,1,January,1,2023,2023-01,True,False,
2023-01-15,15,Sunday,2,1,January,1,2023,2023-01,True,False,
2023-01-16,16,Monday,3,1,January,1,2023,2023-01,False,False,
2023-01-17,17,Tuesday,3,1,January,1,2023,2023-01,False,False,
2023-01-18,18,Wednesday,3,1,January,1,2023,2023-01,False,False,
2023-01-19,19,Thursday,3,1,January,1,2023,2023-01,False,False,
2023-01-20,20,Friday,3,1,January,1,2023,2023-01,False,False,
2023-01-21,21,Saturday,3,1,January,1,2023,2023-01,True,False,
2023-01-22,22,Sunday,3,1,January,1,2023,2023-01,True,False,
2023-01-23,23,Monday,4,1,January,1,2023,2023-01,False,False,
2023-01-24,24,Tuesday,4,1,January,1,2023,2023-01,False,False,
2023-01-25,25,Wednesday,4,1,January,1,2023,2023-01,False,False,
2023-01-26,26,Thursday,4,1,January,1,2023,2023-01,False,False,
2023-01-27,27,Friday,4,1,January,1,2023,2023-01,False,False,
2023-01-28,28,Saturday,4,1,January,1,2023,2023-01,True,False,
2023-01-29,29,Sunday,4,1,January,1,2023,2023-01,True,False,
2023-01-30,30,Monday,5,1,January,1,2023,2023-01,False,False,
2023-01-31,31,Tuesday,5,1,January,1,2023,2023-01,False,False,
2023-02-01,1,Wednesday,5,2,February,1,2023,2023-02,False,False,
2023-02-02,2,Thursday,5,2,February,1,2023,2023-02,False,False,
2023-02-03,3,Friday,5,2,February,1,2023,2023-02,False,False,
2023-02-04,4,Saturday,5,2,February,1,2023,2023-02,True,False,
2023-02-05,5,Sunday,5,2,February,1,2023,2023-02,True,False,
2023-02-06,6,Monday,6,2,February,1,2023,2023-02,False,False,
2023-02-07,7,Tuesday,6,2,February,1,2023,2023-02,False,False,
2023-02-08,8,Wednesday,6,2,February,1,2023,2023-02,False,False,
2023-02-09,9,Thursday,6,2,February,1,2023,2023-02,False,False,
2023-02-10,10,Friday,6,2,February,1,2023,2023-02,False,False,
2023-02-11,11,Saturday,6,2,February,1,2023,2023-02,True,False,
2023-02-12,12,Sunday,6,2,February,1,2023,2023-02,True,False,
2023-02-13,13,Monday,7,2,February,1,2023,2023-02,False,False,
2023-02-14,14,Tuesday,7,2,February,1,2023,2023-02,False,True,Valentine's Day
2023-02-15,15,Wednesday,7,2,February,1,2023,2023-02,False,False,
2023-02-16,16,Thursday,7,2,February,1,2023,2023-02,False,False,
2023-02-17,17,Friday,7,2,February,1,2023,2023-02,False,False,
2023-02-18,18,Saturday,7,2,February,1,2023,2023-02,True,False,
2023-02-19,19,Sunday,7,2,February,1,2023,2023-02,True,False,
2023-02-20,20,Monday,8,2,February,1,2023,2023-02,False,False,
2023-02-21,21,Tuesday,8,2,February,1,2023,2023-02,False,False,
2023-02-22,22,Wednesday,8,2,February,1,2023,2023-02,False,False,
2023-02-23,23,Thursday,8,2,February,1,2023,2023-02,False,False,
2023-02-24,24,Friday,8,2,February,1,2023,2023-02,False,False,
2023-02-25,25,Saturday,8,2,February,1,2023,2023-02,True,False,
2023-02-26,26,Sunday,8,2,February,1,2023,2023-02,True,False,
2023-02-27,27,Monday,9,2,February,1,2023,2023-02,False,False,
2023-02-28,28,Tuesday,9,2,February,1,2023,2023-02,False,False,
2023-03-01,1,Wednesday,9,3,March,1,2023,2023-03,False,False,
2023-03-02,2,Thursday,9,3,March,1,2023,2023-03,False,False,
2023-03-03,3,Friday,9,3,March,1,2023,2023-03,False,False,
2023-03-04,4,Saturday,9,3,March,1,2023,2023-03,True,False,
2023-03-05,5,Sunday,9,3,March,1,2023,2023-03,True,False,
2023-03-06,6,Monday,10,3,March,1,2023,2023-03,False,False,
2023-03-07,7,Tuesday,10,3,March,1,2023,2023-03,False,False,
2023-03-08,8,Wednesday,10,3,March,1,2023,2023-03,False,False,
2023-03-09,9,Thursday,10,3,March,1,2023,2023-03,False,False,
2023-03-10,10,Friday,10,3,March,1,2023,2023-03,False,False,
2023-03-11,11,Saturday,10,3,March,1,2023,2023-03,True,False,
2023-03-12,12,Sunday,10,3,March,1,2023,2023-03,True,False,
2023-03-13,13,Monday,11,3,March,1,2023,2023-03,False,False,
