order_item_id,order_id,product_id,quantity,unit_price,discount_percent,discount_amount,item_revenue,unit_cost,total_cost,gross_profit
1,1,255,2,38.29,0.15,11.49,65.09,28.28,56.56,8.53
2,2,10,2,331.85,0.0,0.0,663.7,271.08,542.16,121.54
3,3,457,1,35.05,0.15,5.26,29.79,19.24,19.24,10.55
4,3,497,5,27.63,0.15,20.72,117.43,16.72,83.6,33.83
5,4,88,2,58.36,0.1,11.67,105.05,31.7,63.4,41.65
6,4,236,1,38.89,0.0,0.0,38.89,24.96,24.96,13.93
7,4,43,1,32.17,0.05,1.61,30.56,19.72,19.72,10.84
8,4,468,1,45.04,0.0,0.0,45.04,22.55,22.55,22.49
9,5,262,2,25.86,0.05,2.59,49.13,18.65,37.3,11.83
10,5,420,1,25.25,0.1,2.53,22.72,16.7,16.7,6.02
11,6,129,2,25.04,0.3,15.02,35.06,14.4,28.8,6.26
12,6,163,1,103.44,0.0,0.0,103.44,73.16,73.16,30.28
13,7,256,1,13.19,0.0,0.0,13.19,7.27,7.27,5.92
14,8,223,1,122.68,0.0,0.0,122.68,76.25,76.25,46.43
15,8,68,1,134.28,0.15,20.14,114.14,79.4,79.4,34.74
16,9,478,3,61.44,0.05,9.22,175.1,32.42,97.26,77.84
17,9,432,1,93.62,0.15,14.04,79.58,71.63,71.63,7.95
18,10,455,1,39.25,0.0,0.0,39.25,25.38,25.38,13.87
19,11,148,2,47.84,0.0,0.0,95.68,35.24,70.48,25.2
20,12,328,3,24.9,0.05,3.73,70.97,8.39,25.17,45.8
21,12,174,2,7.76,0.05,0.78,14.74,5.08,10.16,4.58
22,13,148,3,46.42,0.05,6.96,132.3,35.24,105.72,26.58
23,13,175,1,45.85,0.0,0.0,45.85,16.34,16.34,29.51
24,14,153,1,32.71,0.0,0.0,32.71,10.37,10.37,22.34
25,14,3,1,465.88,0.05,23.29,442.59,402.2,402.2,40.39
26,14,171,1,57.03,0.1,5.7,51.33,22.16,22.16,29.17
27,15,216,2,47.04,0.05,4.7,89.38,29.46,58.92,30.46
28,16,150,4,97.97,0.05,19.59,372.29,68.12,272.48,99.81
29,16,110,2,17.46,0.3,10.48,24.44,6.43,12.86,11.58
30,16,39,1,297.98,0.1,29.8,268.18,196.41,196.41,71.77
31,16,245,1,30.41,0.25,7.6,22.81,23.38,23.38,-0.57
32,16,313,1,35.23,0.15,5.28,29.95,25.34,25.34,4.61
33,17,153,1,32.7,0.05,1.64,31.06,10.37,10.37,20.69
34,18,248,1,147.52,0.0,0.0,147.52,62.0,62.0,85.52
35,18,136,2,52.53,0.2,21.01,84.05,34.98,69.96,14.09
36,18,35,1,402.97,0.0,0.0,402.97,362.2,362.2,40.77
37,18,163,1,100.1,0.0,0.0,100.1,73.16,73.16,26.94
38,19,313,1,34.09,0.0,0.0,34.09,25.34,25.34,8.75
39,19,313,1,34.74,0.0,0.0,34.74,25.34,25.34,9.4
40,19,436,3,112.55,0.05,16.88,320.77,81.8,245.4,75.37
41,19,148,2,49.04,0.05,4.9,93.18,35.24,70.48,22.7
42,19,158,3,26.49,0.15,11.92,67.55,23.64,70.92,-3.37
43,20,100,3,10.72,0.05,1.61,30.55,6.63,19.89,10.66
44,21,80,3,45.11,0.0,0.0,135.33,29.35,88.05,47.28
45,21,377,3,11.29,0.1,3.39,30.48,3.25,9.75,20.73
46,21,176,1,27.62,0.05,1.38,26.24,13.22,13.22,13.02
47,22,445,4,38.28,0.15,22.97,130.15,22.29,89.16,40.99
48,22,449,1,102.22,0.0,0.0,102.22,65.71,65.71,36.51
49,22,431,2,75.77,0.05,7.58,143.96,52.94,105.88,38.08
50,22,128,3,25.92,0.0,0.0,77.76,17.73,53.19,24.57
51,23,60,1,34.61,0.05,1.73,32.88,10.81,10.81,22.07
52,24,174,2,7.49,0.1,1.5,13.48,5.08,10.16,3.32
53,25,313,2,34.08,0.0,0.0,68.16,25.34,50.68,17.48
54,25,13,4,84.05,0.0,0.0,336.2,71.12,284.48,51.72
55,26,3,1,478.34,0.1,47.83,430.51,402.2,402.2,28.31
56,27,473,2,83.61,0.15,25.08,142.14,37.06,74.12,68.02
57,28,13,2,86.06,0.0,0.0,172.12,71.12,142.24,29.88
58,28,23,1,246.28,0.0,0.0,246.28,218.79,218.79,27.49
59,29,454,1,29.59,0.0,0.0,29.59,16.47,16.47,13.12
60,30,250,2,111.08,0.25,55.54,166.62,46.12,92.24,74.38
61,31,331,1,31.92,0.05,1.6,30.32,19.33,19.33,10.99
62,31,100,2,10.36,0.2,4.14,16.58,6.63,13.26,3.32
63,31,494,1,48.67,0.05,2.43,46.24,38.58,38.58,7.66
64,32,309,1,40.89,0.0,0.0,40.89,20.47,20.47,20.42
65,32,100,1,10.72,0.0,0.0,10.72,6.63,6.63,4.09
66,33,345,2,19.93,0.1,3.99,35.87,10.64,21.28,14.59
67,34,392,3,9.26,0.0,0.0,27.78,5.62,16.86,10.92
68,35,250,4,108.49,0.1,43.4,390.56,46.12,184.48,206.08
69,35,200,3,5.99,0.2,3.59,14.38,2.9,8.7,5.68
70,35,100,3,10.52,0.05,1.58,29.98,6.63,19.89,10.09
71,36,43,2,32.55,0.1,6.51,58.59,19.72,39.44,19.15
72,36,3,1,489.29,0.0,0.0,489.29,402.2,402.2,87.09
73,36,313,2,34.25,0.05,3.42,65.08,25.34,50.68,14.4
74,36,479,2,112.24,0.0,0.0,224.48,58.89,117.78,106.7
75,36,313,1,35.16,0.1,3.52,31.64,25.34,25.34,6.3
76,37,305,1,40.41,0.15,6.06,34.35,23.14,23.14,11.21
77,37,110,1,17.16,0.0,0.0,17.16,6.43,6.43,10.73
78,38,144,1,122.07,0.05,6.1,115.97,89.8,89.8,26.17
79,38,467,2,34.56,0.0,0.0,69.12,19.57,39.14,29.98
80,38,114,3,54.02,0.05,8.1,153.96,13.53,40.59,113.37
81,39,97,1,5.56,0.0,0.0,5.56,2.58,2.58,2.98
82,39,100,3,10.55,0.1,3.17,28.48,6.63,19.89,8.59
83,39,469,1,144.76,0.0,0.0,144.76,67.39,67.39,77.37
84,40,245,2,29.95,0.2,11.98,47.92,23.38,46.76,1.16
85,40,164,1,39.71,0.05,1.99,37.72,30.09,30.09,7.63
86,41,1,2,191.17,0.0,0.0,382.34,172.63,345.26,37.08
87,42,153,1,32.4,0.0,0.0,32.4,10.37,10.37,22.03
88,43,319,1,6.26,0.15,0.94,5.32,2.21,2.21,3.11
89,43,313,2,34.86,0.0,0.0,69.72,25.34,50.68,19.04
90,44,445,2,39.94,0.0,0.0,79.88,22.29,44.58,35.3
91,44,215,5,32.6,0.1,16.3,146.7,17.19,85.95,60.75
92,44,13,2,85.96,0.0,0.0,171.92,71.12,142.24,29.68
93,44,408,1,8.8,0.0,0.0,8.8,5.56,5.56,3.24
94,45,223,1,124.73,0.0,0.0,124.73,76.25,76.25,48.48
95,46,278,2,16.67,0.25,8.34,25.0,16.2,32.4,-7.4
96,46,28,1,83.3,0.1,8.33,74.97,79.57,79.57,-4.6
97,46,309,1,39.37,0.1,3.94,35.43,20.47,20.47,14.96
98,46,13,1,85.66,0.0,0.0,85.66,71.12,71.12,14.54
99,47,170,2,41.51,0.0,0.0,83.02,21.73,43.46,39.56
100,48,178,3,45.37,0.05,6.81,129.3,23.93,71.79,57.51
101,48,66,1,58.85,0.0,0.0,58.85,35.94,35.94,22.91
102,48,155,2,109.83,0.0,0.0,219.66,71.03,142.06,77.6
103,49,45,3,35.1,0.05,5.26,100.04,24.68,74.04,26.0
104,49,1,1,198.96,0.1,19.9,179.06,172.63,172.63,6.43
105,49,456,4,41.39,0.05,8.28,157.28,38.87,155.48,1.8
106,50,179,3,5.71,0.0,0.0,17.13,3.8,11.4,5.73
107,51,3,1,497.59,0.05,24.88,472.71,402.2,402.2,70.51
108,52,245,2,30.41,0.05,3.04,57.78,23.38,46.76,11.02
109,53,248,1,141.24,0.1,14.12,127.12,62.0,62.0,65.12
110,53,287,2,13.12,0.05,1.31,24.93,8.69,17.38,7.55
111,53,148,1,47.45,0.0,0.0,47.45,35.24,35.24,12.21
112,53,70,2,76.24,0.1,15.25,137.23,57.01,114.02,23.21
113,54,313,1,34.38,0.0,0.0,34.38,25.34,25.34,9.04
114,55,266,3,18.14,0.15,8.16,46.26,15.7,47.1,-0.84
115,56,313,1,34.79,0.0,0.0,34.79,25.34,25.34,9.45
116,56,414,2,32.48,0.05,3.25,61.71,25.03,50.06,11.65
117,57,171,1,55.91,0.2,11.18,44.73,22.16,22.16,22.57
118,57,104,1,8.49,0.15,1.27,7.22,6.0,6.0,1.22
119,57,403,2,8.55,0.0,0.0,17.1,7.45,14.9,2.2
120,57,329,2,27.13,0.05,2.71,51.55,18.77,37.54,14.01
121,57,361,1,7.93,0.1,0.79,7.14,1.98,1.98,5.16
122,58,313,2,34.91,0.0,0.0,69.82,25.34,50.68,19.14
123,58,178,1,46.68,0.05,2.33,44.35,23.93,23.93,20.42
124,58,313,2,34.07,0.05,3.41,64.73,25.34,50.68,14.05
125,59,148,1,48.69,0.1,4.87,43.82,35.24,35.24,8.58
126,59,36,1,226.56,0.0,0.0,226.56,177.26,177.26,49.3
127,60,313,2,33.77,0.0,0.0,67.54,25.34,50.68,16.86
128,61,10,1,326.96,0.1,32.7,294.26,271.08,271.08,23.18
129,62,186,4,8.32,0.0,0.0,33.28,5.41,21.64,11.64
130,62,288,1,5.5,0.0,0.0,5.5,2.78,2.78,2.72
131,63,174,1,7.54,0.0,0.0,7.54,5.08,5.08,2.46
132,64,26,2,158.86,0.0,0.0,317.72,114.63,229.26,88.46
133,65,148,3,48.74,0.15,21.93,124.29,35.24,105.72,18.57
134,66,236,2,39.76,0.1,7.95,71.57,24.96,49.92,21.65
135,66,186,3,8.22,0.05,1.23,23.43,5.41,16.23,7.2
136,66,313,1,35.09,0.1,3.51,31.58,25.34,25.34,6.24
137,67,43,1,32.8,0.0,0.0,32.8,19.72,19.72,13.08
138,67,355,4,20.43,0.2,16.34,65.38,13.76,55.04,10.34
