order_id,customer_id,order_date,region_id,store_id,order_status,shipping_method,shipping_cost,discount_amount,tax_amount,order_total
1,6931,2025-06-25,4,9,Completed,Standard,4.39,11.49,4.56,74.04
2,13203,2024-08-07,7,16,Completed,Standard,5.5,0.0,46.46,715.66
3,1960,2025-03-24,3,7,Completed,Economy,2.67,25.98,10.31,160.2
4,9440,2024-09-02,7,16,Cancelled,Standard,6.23,13.28,15.37,241.14
5,690,2024-08-12,5,11,Completed,Standard,5.55,5.12,5.03,82.43
6,6530,2025-08-18,3,6,Completed,Express,9.99,15.02,9.7,158.19
7,13906,2024-08-22,2,4,Completed,Express,12.23,0.0,0.92,26.34
8,7207,2025-05-27,8,20,Completed,Standard,7.97,20.14,16.58,261.37
9,7807,2024-04-06,4,9,Completed,Economy,3.21,23.26,17.83,275.72
10,11305,2025-03-01,1,2,Completed,Standard,4.53,0.0,2.75,46.53
11,12162,2024-01-30,4,9,Completed,Standard,5.2,0.0,6.7,107.58
12,12573,2025-07-23,4,9,Completed,Standard,4.99,4.51,6.0,96.7
13,8846,2025-05-04,4,9,Completed,Standard,4.48,6.96,12.47,195.1
14,14658,2023-05-13,6,15,Cancelled,Standard,6.22,28.99,36.86,569.71
15,14452,2025-12-25,4,9,Completed,Economy,2.94,4.7,6.26,98.58
16,8875,2024-12-23,3,5,Returned,Economy,2.36,72.75,50.24,770.27
17,1501,2025-10-10,3,5,Returned,Standard,4.04,1.64,2.17,37.27
18,822,2024-09-25,4,9,Completed,Standard,5.02,21.01,51.42,791.08
19,4225,2025-11-06,4,9,Completed,Standard,4.85,33.7,38.52,593.7
20,14104,2025-03-09,5,10,Completed,Standard,4.25,1.61,2.14,36.94
21,13874,2025-09-20,2,4,Completed,Standard,4.75,4.77,13.44,210.24
22,5239,2025-07-03,5,11,Completed,Standard,5.84,30.55,31.79,491.72
23,9580,2025-03-02,3,7,Completed,Standard,4.5,1.73,2.3,39.68
24,4494,2025-05-04,8,20,Completed,Next-Day,33.39,1.5,0.94,47.81
25,9289,2025-12-19,2,4,Cancelled,Standard,5.41,0.0,28.31,438.08
26,9770,2025-05-10,7,17,Completed,Standard,5.26,47.83,30.14,465.91
27,6798,2024-05-21,4,9,Completed,Express,11.92,25.08,9.95,164.01
28,11466,2024-01-28,3,7,Completed,Standard,4.3,0.0,29.29,451.99
29,7370,2024-03-19,5,10,Cancelled,Express,14.27,0.0,2.07,45.93
30,5286,2023-12-06,6,15,Completed,Standard,6.86,55.54,11.66,185.14
31,14188,2025-12-12,4,9,Cancelled,Express,13.5,8.17,6.52,113.16
32,8579,2025-05-07,8,18,Completed,Next-Day,29.91,0.0,3.61,85.13
33,4243,2025-02-22,3,8,Completed,Economy,2.44,3.99,2.51,40.82
34,14894,2025-11-11,3,5,Completed,Next-Day,16.03,0.0,1.94,45.75
35,8615,2025-05-13,8,19,Completed,Express,19.78,48.57,30.44,485.14
36,10268,2024-12-15,2,4,Completed,Next-Day,17.86,13.45,60.84,947.78
37,8546,2025-02-27,4,9,Completed,Express,13.2,6.06,3.61,68.32
38,13323,2025-02-13,3,6,Completed,Economy,2.77,14.2,23.73,365.55
39,792,2025-09-02,2,4,Completed,Standard,4.24,3.17,12.52,195.56
40,13751,2025-10-26,1,3,Completed,Standard,4.73,13.97,5.99,96.36
41,7998,2025-12-31,2,4,Completed,Economy,2.86,0.0,26.76,411.96
42,13844,2024-07-10,7,16,Completed,Next-Day,23.83,0.0,2.27,58.5
43,4120,2025-01-27,1,1,Completed,Economy,2.91,0.94,5.25,83.2
44,14979,2024-02-22,5,11,Completed,Standard,5.23,16.3,28.51,441.04
