return_id,order_id,return_date,return_reason,refund_amount
1,16,2025-01-02,Wrong Item,715.74
2,17,2025-10-18,Wrong Item,33.23
3,21,2025-10-06,Size Issue,191.03
4,37,2025-03-18,Wrong Item,67.77
5,44,2024-02-29,Customer Changed Mind,270.57
6,62,2024-12-15,Late Delivery,49.79
7,64,2025-11-17,Poor Quality,328.48
8,76,2025-12-23,Size Issue,303.7
9,86,2025-07-04,Size Issue,582.41
10,91,2025-09-24,Late Delivery,123.34
11,103,2024-01-31,Late Delivery,74.14
12,134,2025-10-31,Size Issue,129.45
13,136,2024-01-11,Size Issue,167.03
14,149,2024-08-25,Damaged,132.24
15,167,2024-10-18,Customer Changed Mind,78.07
16,176,2024-04-30,Wrong Item,37.55
17,200,2025-02-28,Customer Changed Mind,258.66
18,203,2025-05-29,Poor Quality,150.81
19,210,2024-04-24,Size Issue,46.03
20,215,2025-11-24,Damaged,644.51
21,221,2023-10-05,Size Issue,99.81
22,228,2025-09-17,Customer Changed Mind,175.06
23,238,2024-09-06,Wrong Item,233.28
24,239,2024-12-03,Damaged,27.69
25,255,2023-11-02,Wrong Item,527.28
26,256,2025-03-20,Customer Changed Mind,45.06
27,268,2026-01-14,Size Issue,177.42
28,272,2024-11-22,Customer Changed Mind,25.26
29,277,2026-01-24,Wrong Item,78.52
30,282,2025-05-28,size issue,67.9
31,289,2025-10-22,Customer Changed Mind,46.36
32,297,2024-10-19,Late Delivery,76.95
33,308,2024-02-12,Damaged,159.36
34,312,2024-06-09,Wrong Item,463.26
35,313,2024-11-06,Damaged,273.53
36,320,2024-08-28,Size Issue,88.95
37,321,2025-07-12,Size Issue,79.4
38,324,2025-05-14,Size Issue,155.71
39,330,2024-12-03,Damaged,962.63
40,338,2025-03-07,Size Issue,534.52
41,343,2025-03-09,Poor Quality,147.11
42,365,2025-11-11,Damaged,444.22
43,378,2025-12-14,Damaged,258.03
44,383,2023-12-09,Late Delivery,171.81
45,384,2025-04-16,Late Delivery,283.51
46,389,2025-05-13,Wrong Item,837.31
47,401,2025-06-02,Wrong Item,570.48
48,403,2025-03-22,Poor Quality,744.13
49,419,2025-05-24,Wrong Item,142.06
50,420,2024-08-01,Size Issue,204.11
51,423,2024-07-30,Size Issue,143.42
52,437,2025-08-31,Poor Quality,385.29
53,440,2026-01-24,Size Issue,39.8
54,447,2025-09-10,Damaged,125.23
55,453,2024-10-17,Size Issue,114.13
56,467,2025-09-08,Wrong Item,254.71
57,477,2025-11-10,Poor Quality,395.8
58,479,2025-07-29,Size Issue,157.92
59,484,2025-09-11,Late Delivery,166.52
60,488,2025-09-11,Wrong Item,319.47
61,497,2024-09-01,Size Issue,13.74
62,511,2024-12-26,Size Issue,459.67
63,513,2024-09-27,Wrong Item,70.51
64,521,2025-07-08,Wrong Item,136.61
65,545,2023-03-13,Size Issue,91.3
66,546,2024-10-31,Customer Changed Mind,87.98
67,554,2024-12-16,Size Issue,81.91
68,555,2025-02-14,Customer Changed Mind,46.07
69,558,2025-08-25,Customer Changed Mind,62.13
70,562,2025-03-04,Late Delivery,49.9
71,575,2024-05-24,Late Delivery,106.91
72,579,2025-12-13,Poor Quality,54.7
73,604,2025-05-29,Poor Quality,35.1
74,609,2025-06-06,Damaged,133.38
75,617,2025-12-08,Wrong Item,83.85
76,620,2025-05-18,Customer Changed Mind,40.2
77,625,2024-10-24,Size Issue,296.99
78,629,2025-02-07,Late Delivery,227.42
79,635,2025-08-30,Wrong Item,69.49
80,641,2024-08-25,Damaged,66.03
81,670,2025-06-21,Wrong Item,329.13
82,694,2026-01-10,Poor Quality,30.48
83,696,2025-04-08,Damaged,177.83
84,704,2025-09-06,Wrong Item,34.95
85,730,2025-06-24,Poor Quality,140.55
86,756,2025-12-11,Poor Quality,95.87
87,763,2024-11-22,Size Issue,109.87
88,767,2023-11-20,Size Issue,473.98
89,781,2025-03-08,Poor Quality,353.71
90,792,2024-09-06,Customer Changed Mind,292.99
91,793,2025-08-27,Poor Quality,166.67
92,795,2025-05-18,Size Issue,313.52
93,826,2025-05-24,Size Issue,362.5
94,831,2025-07-07,Wrong Item,376.73
95,833,2026-01-20,Customer Changed Mind,22.19
96,850,2026-01-13,Size Issue,116.25
97,855,2025-10-31,Size Issue,119.02
98,866,2025-01-17,Late Delivery,944.29
99,868,2025-09-30,Customer Changed Mind,36.7
100,874,2025-06-18,Late Delivery,85.61
101,876,2025-09-12,Damaged,913.16
102,882,2024-12-29,Wrong Item,841.21
103,884,2024-12-28,Poor Quality,64.04
104,885,2024-12-28,Late Delivery,53.12
105,886,2025-05-28,Poor Quality,61.28
106,887,2025-12-16,Size Issue,118.03
107,893,2025-10-25,Size Issue,204.98
108,894,2026-01-15,Wrong Item,220.14
109,903,2025-12-10,Customer Changed Mind,27.56
110,912,2025-12-23,Late Delivery,246.53
111,916,2025-11-24,Late Delivery,197.16
112,923,2024-11-16,Wrong Item,255.28
113,931,2024-07-20,Size Issue,109.19
114,936,2023-03-29,Poor Quality,107.21
115,938,2025-08-23,Damaged,33.19
116,957,2026-01-19,Damaged,522.11
117,958,2025-07-23,Wrong Item,184.03
118,963,2025-08-26,Poor Quality,64.68
119,964,2024-05-22,Size Issue,28.74
120,970,2024-07-13,Poor Quality,289.19
121,975,2025-10-04,Wrong Item,54.28
122,985,2025-10-19,Customer Changed Mind,98.3
123,1010,2024-10-13,Customer Changed Mind,134.41
124,1026,2025-05-26,Late Delivery,168.08
125,1029,2024-02-10,Size Issue,160.91
126,1033,2024-02-29,Late Delivery,553.19
127,1043,2025-08-27,Size Issue,68.95
128,1050,2025-01-25,Size Issue,171.64
129,1078,2025-11-02,Size Issue,81.8
130,1104,2025-11-02,Wrong Item,523.35
131,1111,2026-01-26,Wrong Item,44.12
132,1113,2025-09-17,Wrong Item,144.35
133,1119,2025-04-12,Poor Quality,133.74
134,1121,2026-01-10,Size Issue,189.62
135,1128,2025-06-28,Size Issue,335.57
136,1139,2025-08-13,Size Issue,18.77
